"Id
attempt";"Id
user";Device;IP address;MAC address;Place;Time;Authentication method;"Attempts with incorrect password 
(k)";"Keystroke 
(seconds/key)";"Attempts with correct password & invalid keystroke 
(m)";"Attempts with biometrics
(l)";"Safe authentication
(Yes/No)"
1;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[0.5, 1.6[;<=3;;Yes
2;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[0.5, 1.6[;<=3;;Yes
3;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[0.5, 1.6[;<=3;;Yes
4;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
5;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
6;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;>3;[1.6, 2.6[;>3;;Yes
7;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
8;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
9;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
10;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
11;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Password;>3;[1.6, 2.6[;>3;;No
12;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
13;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
14;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;<=2;No
15;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
16;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
17;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
18;2;Smartphone;172.25.0.3;35-57-77-A4-D7-D0;Other;Afternoon;Password;>3;[1.6, 2.6[;>3;;No
19;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
20;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
21;2;Laptop;10.44.0.120;01-E5-E6-4E-07-1A;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
